id,year,event,location,content,label,source
907,2020,LoC Ceasefire Violation,Kupwara,Government officials confirmed that the LoC Ceasefire Violation in Kupwara involved coordinated efforts between the army and local police to ensure public safety.,REAL,BBC News
908,2021,Cross-border Infiltration Attempt,Jammu & Kashmir,"Defense officials released a statement regarding the Cross-border Infiltration Attempt in Jammu & Kashmir, stating that troops were deployed to monitor the situation and prevent escalation.",REAL,The Hindu
909,2022,India-Pakistan Border Tension,Punjab Border,Security forces conducted an operation in Punjab Border following intelligence reports related to the India-Pakistan Border Tension. Officials confirmed the situation was brought under control without civilian casualties.,REAL,Indian Express
910,2023,Terror Attack Investigation,Srinagar,"Authorities reported developments related to the Terror Attack Investigation in Srinagar. According to official statements, security agencies responded promptly to maintain stability in the region.",REAL,Press Trust of India
911,2024,Counter-insurgency Operation,Baramulla,Government officials confirmed that the Counter-insurgency Operation in Baramulla involved coordinated efforts between the army and local police to ensure public safety.,REAL,Reuters
912,2025,Manipur Ethnic Conflict,Imphal,"Defense officials released a statement regarding the Manipur Ethnic Conflict in Imphal, stating that troops were deployed to monitor the situation and prevent escalation.",REAL,BBC News
913,2020,Galwan Valley Clash,Ladakh,Security forces conducted an operation in Ladakh following intelligence reports related to the Galwan Valley Clash. Officials confirmed the situation was brought under control without civilian casualties.,REAL,The Hindu
914,2021,Kashmir Militancy Encounter,Shopian,"Authorities reported developments related to the Kashmir Militancy Encounter in Shopian. According to official statements, security agencies responded promptly to maintain stability in the region.",REAL,Indian Express
915,2022,LoC Ceasefire Violation,Kupwara,Government officials confirmed that the LoC Ceasefire Violation in Kupwara involved coordinated efforts between the army and local police to ensure public safety.,REAL,Press Trust of India
916,2023,Cross-border Infiltration Attempt,Jammu & Kashmir,"Defense officials released a statement regarding the Cross-border Infiltration Attempt in Jammu & Kashmir, stating that troops were deployed to monitor the situation and prevent escalation.",REAL,Reuters
917,2024,India-Pakistan Border Tension,Punjab Border,Security forces conducted an operation in Punjab Border following intelligence reports related to the India-Pakistan Border Tension. Officials confirmed the situation was brought under control without civilian casualties.,REAL,BBC News
918,2025,Terror Attack Investigation,Srinagar,"Authorities reported developments related to the Terror Attack Investigation in Srinagar. According to official statements, security agencies responded promptly to maintain stability in the region.",REAL,The Hindu
919,2020,Counter-insurgency Operation,Baramulla,Government officials confirmed that the Counter-insurgency Operation in Baramulla involved coordinated efforts between the army and local police to ensure public safety.,REAL,Indian Express
920,2021,Manipur Ethnic Conflict,Imphal,"Defense officials released a statement regarding the Manipur Ethnic Conflict in Imphal, stating that troops were deployed to monitor the situation and prevent escalation.",REAL,Press Trust of India
921,2022,Galwan Valley Clash,Ladakh,Security forces conducted an operation in Ladakh following intelligence reports related to the Galwan Valley Clash. Officials confirmed the situation was brought under control without civilian casualties.,REAL,Reuters
922,2023,Kashmir Militancy Encounter,Shopian,"Authorities reported developments related to the Kashmir Militancy Encounter in Shopian. According to official statements, security agencies responded promptly to maintain stability in the region.",REAL,BBC News
923,2024,LoC Ceasefire Violation,Kupwara,Government officials confirmed that the LoC Ceasefire Violation in Kupwara involved coordinated efforts between the army and local police to ensure public safety.,REAL,The Hindu
924,2025,Cross-border Infiltration Attempt,Jammu & Kashmir,"Defense officials released a statement regarding the Cross-border Infiltration Attempt in Jammu & Kashmir, stating that troops were deployed to monitor the situation and prevent escalation.",REAL,Indian Express
925,2020,India-Pakistan Border Tension,Punjab Border,Security forces conducted an operation in Punjab Border following intelligence reports related to the India-Pakistan Border Tension. Officials confirmed the situation was brought under control without civilian casualties.,REAL,Press Trust of India
926,2021,Terror Attack Investigation,Srinagar,"Authorities reported developments related to the Terror Attack Investigation in Srinagar. According to official statements, security agencies responded promptly to maintain stability in the region.",REAL,Reuters
927,2022,Counter-insurgency Operation,Baramulla,Government officials confirmed that the Counter-insurgency Operation in Baramulla involved coordinated efforts between the army and local police to ensure public safety.,REAL,BBC News
928,2023,Manipur Ethnic Conflict,Imphal,"Defense officials released a statement regarding the Manipur Ethnic Conflict in Imphal, stating that troops were deployed to monitor the situation and prevent escalation.",REAL,The Hindu
929,2024,Galwan Valley Clash,Ladakh,Security forces conducted an operation in Ladakh following intelligence reports related to the Galwan Valley Clash. Officials confirmed the situation was brought under control without civilian casualties.,REAL,Indian Express
930,2025,Kashmir Militancy Encounter,Shopian,"Authorities reported developments related to the Kashmir Militancy Encounter in Shopian. According to official statements, security agencies responded promptly to maintain stability in the region.",REAL,Press Trust of India
931,2020,LoC Ceasefire Violation,Kupwara,Government officials confirmed that the LoC Ceasefire Violation in Kupwara involved coordinated efforts between the army and local police to ensure public safety.,REAL,Reuters
932,2021,Cross-border Infiltration Attempt,Jammu & Kashmir,"Defense officials released a statement regarding the Cross-border Infiltration Attempt in Jammu & Kashmir, stating that troops were deployed to monitor the situation and prevent escalation.",REAL,BBC News
933,2022,India-Pakistan Border Tension,Punjab Border,Security forces conducted an operation in Punjab Border following intelligence reports related to the India-Pakistan Border Tension. Officials confirmed the situation was brought under control without civilian casualties.,REAL,The Hindu
934,2023,Terror Attack Investigation,Srinagar,"Authorities reported developments related to the Terror Attack Investigation in Srinagar. According to official statements, security agencies responded promptly to maintain stability in the region.",REAL,Indian Express
935,2024,Counter-insurgency Operation,Baramulla,Government officials confirmed that the Counter-insurgency Operation in Baramulla involved coordinated efforts between the army and local police to ensure public safety.,REAL,Press Trust of India
936,2025,Manipur Ethnic Conflict,Imphal,"Defense officials released a statement regarding the Manipur Ethnic Conflict in Imphal, stating that troops were deployed to monitor the situation and prevent escalation.",REAL,Reuters
937,2020,Galwan Valley Clash,Ladakh,Security forces conducted an operation in Ladakh following intelligence reports related to the Galwan Valley Clash. Officials confirmed the situation was brought under control without civilian casualties.,REAL,BBC News
938,2021,Kashmir Militancy Encounter,Shopian,"Authorities reported developments related to the Kashmir Militancy Encounter in Shopian. According to official statements, security agencies responded promptly to maintain stability in the region.",REAL,The Hindu
939,2022,LoC Ceasefire Violation,Kupwara,Government officials confirmed that the LoC Ceasefire Violation in Kupwara involved coordinated efforts between the army and local police to ensure public safety.,REAL,Indian Express
940,2023,Cross-border Infiltration Attempt,Jammu & Kashmir,"Defense officials released a statement regarding the Cross-border Infiltration Attempt in Jammu & Kashmir, stating that troops were deployed to monitor the situation and prevent escalation.",REAL,Press Trust of India
941,2024,India-Pakistan Border Tension,Punjab Border,Security forces conducted an operation in Punjab Border following intelligence reports related to the India-Pakistan Border Tension. Officials confirmed the situation was brought under control without civilian casualties.,REAL,Reuters
942,2025,Terror Attack Investigation,Srinagar,"Authorities reported developments related to the Terror Attack Investigation in Srinagar. According to official statements, security agencies responded promptly to maintain stability in the region.",REAL,BBC News
943,2020,Counter-insurgency Operation,Baramulla,Government officials confirmed that the Counter-insurgency Operation in Baramulla involved coordinated efforts between the army and local police to ensure public safety.,REAL,The Hindu
944,2021,Manipur Ethnic Conflict,Imphal,"Defense officials released a statement regarding the Manipur Ethnic Conflict in Imphal, stating that troops were deployed to monitor the situation and prevent escalation.",REAL,Indian Express
945,2022,Galwan Valley Clash,Ladakh,Security forces conducted an operation in Ladakh following intelligence reports related to the Galwan Valley Clash. Officials confirmed the situation was brought under control without civilian casualties.,REAL,Press Trust of India
946,2023,Kashmir Militancy Encounter,Shopian,"Authorities reported developments related to the Kashmir Militancy Encounter in Shopian. According to official statements, security agencies responded promptly to maintain stability in the region.",REAL,Reuters
947,2024,LoC Ceasefire Violation,Kupwara,Government officials confirmed that the LoC Ceasefire Violation in Kupwara involved coordinated efforts between the army and local police to ensure public safety.,REAL,BBC News
948,2025,Cross-border Infiltration Attempt,Jammu & Kashmir,"Defense officials released a statement regarding the Cross-border Infiltration Attempt in Jammu & Kashmir, stating that troops were deployed to monitor the situation and prevent escalation.",REAL,The Hindu
949,2020,India-Pakistan Border Tension,Punjab Border,Security forces conducted an operation in Punjab Border following intelligence reports related to the India-Pakistan Border Tension. Officials confirmed the situation was brought under control without civilian casualties.,REAL,Indian Express
950,2021,Terror Attack Investigation,Srinagar,"Authorities reported developments related to the Terror Attack Investigation in Srinagar. According to official statements, security agencies responded promptly to maintain stability in the region.",REAL,Press Trust of India
951,2022,Counter-insurgency Operation,Baramulla,Government officials confirmed that the Counter-insurgency Operation in Baramulla involved coordinated efforts between the army and local police to ensure public safety.,REAL,Reuters
952,2023,Manipur Ethnic Conflict,Imphal,"Defense officials released a statement regarding the Manipur Ethnic Conflict in Imphal, stating that troops were deployed to monitor the situation and prevent escalation.",REAL,BBC News
953,2024,Galwan Valley Clash,Ladakh,Security forces conducted an operation in Ladakh following intelligence reports related to the Galwan Valley Clash. Officials confirmed the situation was brought under control without civilian casualties.,REAL,The Hindu
954,2025,Kashmir Militancy Encounter,Shopian,"Authorities reported developments related to the Kashmir Militancy Encounter in Shopian. According to official statements, security agencies responded promptly to maintain stability in the region.",REAL,Indian Express
955,2020,LoC Ceasefire Violation,Kupwara,Government officials confirmed that the LoC Ceasefire Violation in Kupwara involved coordinated efforts between the army and local police to ensure public safety.,REAL,Press Trust of India
956,2021,Cross-border Infiltration Attempt,Jammu & Kashmir,"Defense officials released a statement regarding the Cross-border Infiltration Attempt in Jammu & Kashmir, stating that troops were deployed to monitor the situation and prevent escalation.",REAL,Reuters
957,2022,India-Pakistan Border Tension,Punjab Border,Security forces conducted an operation in Punjab Border following intelligence reports related to the India-Pakistan Border Tension. Officials confirmed the situation was brought under control without civilian casualties.,REAL,BBC News
958,2023,Terror Attack Investigation,Srinagar,"Authorities reported developments related to the Terror Attack Investigation in Srinagar. According to official statements, security agencies responded promptly to maintain stability in the region.",REAL,The Hindu
959,2024,Counter-insurgency Operation,Baramulla,Government officials confirmed that the Counter-insurgency Operation in Baramulla involved coordinated efforts between the army and local police to ensure public safety.,REAL,Indian Express
960,2025,Manipur Ethnic Conflict,Imphal,"Defense officials released a statement regarding the Manipur Ethnic Conflict in Imphal, stating that troops were deployed to monitor the situation and prevent escalation.",REAL,Press Trust of India
961,2020,Galwan Valley Clash,Ladakh,Security forces conducted an operation in Ladakh following intelligence reports related to the Galwan Valley Clash. Officials confirmed the situation was brought under control without civilian casualties.,REAL,Reuters
962,2021,Kashmir Militancy Encounter,Shopian,"Authorities reported developments related to the Kashmir Militancy Encounter in Shopian. According to official statements, security agencies responded promptly to maintain stability in the region.",REAL,BBC News
963,2022,LoC Ceasefire Violation,Kupwara,Government officials confirmed that the LoC Ceasefire Violation in Kupwara involved coordinated efforts between the army and local police to ensure public safety.,REAL,The Hindu
964,2023,Cross-border Infiltration Attempt,Jammu & Kashmir,"Defense officials released a statement regarding the Cross-border Infiltration Attempt in Jammu & Kashmir, stating that troops were deployed to monitor the situation and prevent escalation.",REAL,Indian Express
965,2024,India-Pakistan Border Tension,Punjab Border,Security forces conducted an operation in Punjab Border following intelligence reports related to the India-Pakistan Border Tension. Officials confirmed the situation was brought under control without civilian casualties.,REAL,Press Trust of India
966,2025,Terror Attack Investigation,Srinagar,"Authorities reported developments related to the Terror Attack Investigation in Srinagar. According to official statements, security agencies responded promptly to maintain stability in the region.",REAL,Reuters
967,2020,Counter-insurgency Operation,Baramulla,Government officials confirmed that the Counter-insurgency Operation in Baramulla involved coordinated efforts between the army and local police to ensure public safety.,REAL,BBC News
968,2021,Manipur Ethnic Conflict,Imphal,"Defense officials released a statement regarding the Manipur Ethnic Conflict in Imphal, stating that troops were deployed to monitor the situation and prevent escalation.",REAL,The Hindu
969,2022,Galwan Valley Clash,Ladakh,Security forces conducted an operation in Ladakh following intelligence reports related to the Galwan Valley Clash. Officials confirmed the situation was brought under control without civilian casualties.,REAL,Indian Express
970,2023,Kashmir Militancy Encounter,Shopian,"Authorities reported developments related to the Kashmir Militancy Encounter in Shopian. According to official statements, security agencies responded promptly to maintain stability in the region.",REAL,Press Trust of India
971,2024,LoC Ceasefire Violation,Kupwara,Government officials confirmed that the LoC Ceasefire Violation in Kupwara involved coordinated efforts between the army and local police to ensure public safety.,REAL,Reuters
972,2025,Cross-border Infiltration Attempt,Jammu & Kashmir,"Defense officials released a statement regarding the Cross-border Infiltration Attempt in Jammu & Kashmir, stating that troops were deployed to monitor the situation and prevent escalation.",REAL,BBC News
973,2020,India-Pakistan Border Tension,Punjab Border,Security forces conducted an operation in Punjab Border following intelligence reports related to the India-Pakistan Border Tension. Officials confirmed the situation was brought under control without civilian casualties.,REAL,The Hindu
974,2021,Terror Attack Investigation,Srinagar,"Authorities reported developments related to the Terror Attack Investigation in Srinagar. According to official statements, security agencies responded promptly to maintain stability in the region.",REAL,Indian Express
975,2022,Counter-insurgency Operation,Baramulla,Government officials confirmed that the Counter-insurgency Operation in Baramulla involved coordinated efforts between the army and local police to ensure public safety.,REAL,Press Trust of India
976,2023,Manipur Ethnic Conflict,Imphal,"Defense officials released a statement regarding the Manipur Ethnic Conflict in Imphal, stating that troops were deployed to monitor the situation and prevent escalation.",REAL,Reuters
977,2024,Galwan Valley Clash,Ladakh,Security forces conducted an operation in Ladakh following intelligence reports related to the Galwan Valley Clash. Officials confirmed the situation was brought under control without civilian casualties.,REAL,BBC News
978,2025,Kashmir Militancy Encounter,Shopian,"Authorities reported developments related to the Kashmir Militancy Encounter in Shopian. According to official statements, security agencies responded promptly to maintain stability in the region.",REAL,The Hindu
979,2020,LoC Ceasefire Violation,Kupwara,Government officials confirmed that the LoC Ceasefire Violation in Kupwara involved coordinated efforts between the army and local police to ensure public safety.,REAL,Indian Express
980,2021,Cross-border Infiltration Attempt,Jammu & Kashmir,"Defense officials released a statement regarding the Cross-border Infiltration Attempt in Jammu & Kashmir, stating that troops were deployed to monitor the situation and prevent escalation.",REAL,Press Trust of India
981,2022,India-Pakistan Border Tension,Punjab Border,Security forces conducted an operation in Punjab Border following intelligence reports related to the India-Pakistan Border Tension. Officials confirmed the situation was brought under control without civilian casualties.,REAL,Reuters
982,2023,Terror Attack Investigation,Srinagar,"Authorities reported developments related to the Terror Attack Investigation in Srinagar. According to official statements, security agencies responded promptly to maintain stability in the region.",REAL,BBC News
983,2024,Counter-insurgency Operation,Baramulla,Government officials confirmed that the Counter-insurgency Operation in Baramulla involved coordinated efforts between the army and local police to ensure public safety.,REAL,The Hindu
984,2025,Manipur Ethnic Conflict,Imphal,"Defense officials released a statement regarding the Manipur Ethnic Conflict in Imphal, stating that troops were deployed to monitor the situation and prevent escalation.",REAL,Indian Express
985,2020,Galwan Valley Clash,Ladakh,Security forces conducted an operation in Ladakh following intelligence reports related to the Galwan Valley Clash. Officials confirmed the situation was brought under control without civilian casualties.,REAL,Press Trust of India
986,2021,Kashmir Militancy Encounter,Shopian,"Authorities reported developments related to the Kashmir Militancy Encounter in Shopian. According to official statements, security agencies responded promptly to maintain stability in the region.",REAL,Reuters
987,2022,LoC Ceasefire Violation,Kupwara,Government officials confirmed that the LoC Ceasefire Violation in Kupwara involved coordinated efforts between the army and local police to ensure public safety.,REAL,BBC News
988,2023,Cross-border Infiltration Attempt,Jammu & Kashmir,"Defense officials released a statement regarding the Cross-border Infiltration Attempt in Jammu & Kashmir, stating that troops were deployed to monitor the situation and prevent escalation.",REAL,The Hindu
989,2024,India-Pakistan Border Tension,Punjab Border,Security forces conducted an operation in Punjab Border following intelligence reports related to the India-Pakistan Border Tension. Officials confirmed the situation was brought under control without civilian casualties.,REAL,Indian Express
990,2025,Terror Attack Investigation,Srinagar,"Authorities reported developments related to the Terror Attack Investigation in Srinagar. According to official statements, security agencies responded promptly to maintain stability in the region.",REAL,Press Trust of India
991,2020,Counter-insurgency Operation,Baramulla,Government officials confirmed that the Counter-insurgency Operation in Baramulla involved coordinated efforts between the army and local police to ensure public safety.,REAL,Reuters
992,2021,Manipur Ethnic Conflict,Imphal,"Defense officials released a statement regarding the Manipur Ethnic Conflict in Imphal, stating that troops were deployed to monitor the situation and prevent escalation.",REAL,BBC News
993,2022,Galwan Valley Clash,Ladakh,Security forces conducted an operation in Ladakh following intelligence reports related to the Galwan Valley Clash. Officials confirmed the situation was brought under control without civilian casualties.,REAL,The Hindu
994,2023,Kashmir Militancy Encounter,Shopian,"Authorities reported developments related to the Kashmir Militancy Encounter in Shopian. According to official statements, security agencies responded promptly to maintain stability in the region.",REAL,Indian Express
995,2024,LoC Ceasefire Violation,Kupwara,Government officials confirmed that the LoC Ceasefire Violation in Kupwara involved coordinated efforts between the army and local police to ensure public safety.,REAL,Press Trust of India
996,2025,Cross-border Infiltration Attempt,Jammu & Kashmir,"Defense officials released a statement regarding the Cross-border Infiltration Attempt in Jammu & Kashmir, stating that troops were deployed to monitor the situation and prevent escalation.",REAL,Reuters
997,2020,India-Pakistan Border Tension,Punjab Border,Security forces conducted an operation in Punjab Border following intelligence reports related to the India-Pakistan Border Tension. Officials confirmed the situation was brought under control without civilian casualties.,REAL,BBC News
998,2021,Terror Attack Investigation,Srinagar,"Authorities reported developments related to the Terror Attack Investigation in Srinagar. According to official statements, security agencies responded promptly to maintain stability in the region.",REAL,The Hindu
999,2022,Counter-insurgency Operation,Baramulla,Government officials confirmed that the Counter-insurgency Operation in Baramulla involved coordinated efforts between the army and local police to ensure public safety.,REAL,Indian Express
1000,2023,Manipur Ethnic Conflict,Imphal,"Defense officials released a statement regarding the Manipur Ethnic Conflict in Imphal, stating that troops were deployed to monitor the situation and prevent escalation.",REAL,Press Trust of India
1001,2020,Galwan Valley Clash,Ladakh,"A viral social media post claimed that a major military disaster occurred during the Galwan Valley Clash in Ladakh, but fact-checkers later confirmed that the claim was false and based on misleading information.",FAKE,Alt News
1002,2021,Kashmir Militancy Encounter,Shopian,"Images circulating online were claimed to show destruction during the Kashmir Militancy Encounter in Shopian; however, verification revealed that the pictures were actually from an unrelated incident in another country.",FAKE,BOOM Live
1003,2022,LoC Ceasefire Violation,Kupwara,"Several Facebook and WhatsApp messages alleged secret military actions during the LoC Ceasefire Violation in Kupwara, but fact-checking organizations found no official evidence supporting these claims.",FAKE,Factly
1004,2023,Cross-border Infiltration Attempt,Jammu & Kashmir,"A widely shared video was said to depict conflict during the Cross-border Infiltration Attempt in Jammu & Kashmir, but investigators determined that the footage was old and unrelated to the incident.",FAKE,PIB Fact Check
1005,2024,India-Pakistan Border Tension,Punjab Border,"A viral social media post claimed that a major military disaster occurred during the India-Pakistan Border Tension in Punjab Border, but fact-checkers later confirmed that the claim was false and based on misleading information.",FAKE,Newschecker
1006,2025,Terror Attack Investigation,Srinagar,"Images circulating online were claimed to show destruction during the Terror Attack Investigation in Srinagar; however, verification revealed that the pictures were actually from an unrelated incident in another country.",FAKE,Alt News
1007,2020,Counter-insurgency Operation,Baramulla,"Several Facebook and WhatsApp messages alleged secret military actions during the Counter-insurgency Operation in Baramulla, but fact-checking organizations found no official evidence supporting these claims.",FAKE,BOOM Live
1008,2021,Manipur Ethnic Conflict,Imphal,"A widely shared video was said to depict conflict during the Manipur Ethnic Conflict in Imphal, but investigators determined that the footage was old and unrelated to the incident.",FAKE,Factly
1009,2022,Galwan Valley Clash,Ladakh,"A viral social media post claimed that a major military disaster occurred during the Galwan Valley Clash in Ladakh, but fact-checkers later confirmed that the claim was false and based on misleading information.",FAKE,PIB Fact Check
1010,2023,Kashmir Militancy Encounter,Shopian,"Images circulating online were claimed to show destruction during the Kashmir Militancy Encounter in Shopian; however, verification revealed that the pictures were actually from an unrelated incident in another country.",FAKE,Newschecker
1011,2024,LoC Ceasefire Violation,Kupwara,"Several Facebook and WhatsApp messages alleged secret military actions during the LoC Ceasefire Violation in Kupwara, but fact-checking organizations found no official evidence supporting these claims.",FAKE,Alt News
1012,2025,Cross-border Infiltration Attempt,Jammu & Kashmir,"A widely shared video was said to depict conflict during the Cross-border Infiltration Attempt in Jammu & Kashmir, but investigators determined that the footage was old and unrelated to the incident.",FAKE,BOOM Live
1013,2020,India-Pakistan Border Tension,Punjab Border,"A viral social media post claimed that a major military disaster occurred during the India-Pakistan Border Tension in Punjab Border, but fact-checkers later confirmed that the claim was false and based on misleading information.",FAKE,Factly
1014,2021,Terror Attack Investigation,Srinagar,"Images circulating online were claimed to show destruction during the Terror Attack Investigation in Srinagar; however, verification revealed that the pictures were actually from an unrelated incident in another country.",FAKE,PIB Fact Check
1015,2022,Counter-insurgency Operation,Baramulla,"Several Facebook and WhatsApp messages alleged secret military actions during the Counter-insurgency Operation in Baramulla, but fact-checking organizations found no official evidence supporting these claims.",FAKE,Newschecker
1016,2023,Manipur Ethnic Conflict,Imphal,"A widely shared video was said to depict conflict during the Manipur Ethnic Conflict in Imphal, but investigators determined that the footage was old and unrelated to the incident.",FAKE,Alt News
1017,2024,Galwan Valley Clash,Ladakh,"A viral social media post claimed that a major military disaster occurred during the Galwan Valley Clash in Ladakh, but fact-checkers later confirmed that the claim was false and based on misleading information.",FAKE,BOOM Live
1018,2025,Kashmir Militancy Encounter,Shopian,"Images circulating online were claimed to show destruction during the Kashmir Militancy Encounter in Shopian; however, verification revealed that the pictures were actually from an unrelated incident in another country.",FAKE,Factly
1019,2020,LoC Ceasefire Violation,Kupwara,"Several Facebook and WhatsApp messages alleged secret military actions during the LoC Ceasefire Violation in Kupwara, but fact-checking organizations found no official evidence supporting these claims.",FAKE,PIB Fact Check
1020,2021,Cross-border Infiltration Attempt,Jammu & Kashmir,"A widely shared video was said to depict conflict during the Cross-border Infiltration Attempt in Jammu & Kashmir, but investigators determined that the footage was old and unrelated to the incident.",FAKE,Newschecker
1021,2022,India-Pakistan Border Tension,Punjab Border,"A viral social media post claimed that a major military disaster occurred during the India-Pakistan Border Tension in Punjab Border, but fact-checkers later confirmed that the claim was false and based on misleading information.",FAKE,Alt News
1022,2023,Terror Attack Investigation,Srinagar,"Images circulating online were claimed to show destruction during the Terror Attack Investigation in Srinagar; however, verification revealed that the pictures were actually from an unrelated incident in another country.",FAKE,BOOM Live
1023,2024,Counter-insurgency Operation,Baramulla,"Several Facebook and WhatsApp messages alleged secret military actions during the Counter-insurgency Operation in Baramulla, but fact-checking organizations found no official evidence supporting these claims.",FAKE,Factly
1024,2025,Manipur Ethnic Conflict,Imphal,"A widely shared video was said to depict conflict during the Manipur Ethnic Conflict in Imphal, but investigators determined that the footage was old and unrelated to the incident.",FAKE,PIB Fact Check
1025,2020,Galwan Valley Clash,Ladakh,"A viral social media post claimed that a major military disaster occurred during the Galwan Valley Clash in Ladakh, but fact-checkers later confirmed that the claim was false and based on misleading information.",FAKE,Newschecker
1026,2021,Kashmir Militancy Encounter,Shopian,"Images circulating online were claimed to show destruction during the Kashmir Militancy Encounter in Shopian; however, verification revealed that the pictures were actually from an unrelated incident in another country.",FAKE,Alt News
1027,2022,LoC Ceasefire Violation,Kupwara,"Several Facebook and WhatsApp messages alleged secret military actions during the LoC Ceasefire Violation in Kupwara, but fact-checking organizations found no official evidence supporting these claims.",FAKE,BOOM Live
1028,2023,Cross-border Infiltration Attempt,Jammu & Kashmir,"A widely shared video was said to depict conflict during the Cross-border Infiltration Attempt in Jammu & Kashmir, but investigators determined that the footage was old and unrelated to the incident.",FAKE,Factly
1029,2024,India-Pakistan Border Tension,Punjab Border,"A viral social media post claimed that a major military disaster occurred during the India-Pakistan Border Tension in Punjab Border, but fact-checkers later confirmed that the claim was false and based on misleading information.",FAKE,PIB Fact Check
1030,2025,Terror Attack Investigation,Srinagar,"Images circulating online were claimed to show destruction during the Terror Attack Investigation in Srinagar; however, verification revealed that the pictures were actually from an unrelated incident in another country.",FAKE,Newschecker
1031,2020,Counter-insurgency Operation,Baramulla,"Several Facebook and WhatsApp messages alleged secret military actions during the Counter-insurgency Operation in Baramulla, but fact-checking organizations found no official evidence supporting these claims.",FAKE,Alt News
1032,2021,Manipur Ethnic Conflict,Imphal,"A widely shared video was said to depict conflict during the Manipur Ethnic Conflict in Imphal, but investigators determined that the footage was old and unrelated to the incident.",FAKE,BOOM Live
1033,2022,Galwan Valley Clash,Ladakh,"A viral social media post claimed that a major military disaster occurred during the Galwan Valley Clash in Ladakh, but fact-checkers later confirmed that the claim was false and based on misleading information.",FAKE,Factly
1034,2023,Kashmir Militancy Encounter,Shopian,"Images circulating online were claimed to show destruction during the Kashmir Militancy Encounter in Shopian; however, verification revealed that the pictures were actually from an unrelated incident in another country.",FAKE,PIB Fact Check
1035,2024,LoC Ceasefire Violation,Kupwara,"Several Facebook and WhatsApp messages alleged secret military actions during the LoC Ceasefire Violation in Kupwara, but fact-checking organizations found no official evidence supporting these claims.",FAKE,Newschecker
1036,2025,Cross-border Infiltration Attempt,Jammu & Kashmir,"A widely shared video was said to depict conflict during the Cross-border Infiltration Attempt in Jammu & Kashmir, but investigators determined that the footage was old and unrelated to the incident.",FAKE,Alt News
1037,2020,India-Pakistan Border Tension,Punjab Border,"A viral social media post claimed that a major military disaster occurred during the India-Pakistan Border Tension in Punjab Border, but fact-checkers later confirmed that the claim was false and based on misleading information.",FAKE,BOOM Live
1038,2021,Terror Attack Investigation,Srinagar,"Images circulating online were claimed to show destruction during the Terror Attack Investigation in Srinagar; however, verification revealed that the pictures were actually from an unrelated incident in another country.",FAKE,Factly
1039,2022,Counter-insurgency Operation,Baramulla,"Several Facebook and WhatsApp messages alleged secret military actions during the Counter-insurgency Operation in Baramulla, but fact-checking organizations found no official evidence supporting these claims.",FAKE,PIB Fact Check
1040,2023,Manipur Ethnic Conflict,Imphal,"A widely shared video was said to depict conflict during the Manipur Ethnic Conflict in Imphal, but investigators determined that the footage was old and unrelated to the incident.",FAKE,Newschecker
1041,2024,Galwan Valley Clash,Ladakh,"A viral social media post claimed that a major military disaster occurred during the Galwan Valley Clash in Ladakh, but fact-checkers later confirmed that the claim was false and based on misleading information.",FAKE,Alt News
1042,2025,Kashmir Militancy Encounter,Shopian,"Images circulating online were claimed to show destruction during the Kashmir Militancy Encounter in Shopian; however, verification revealed that the pictures were actually from an unrelated incident in another country.",FAKE,BOOM Live
1043,2020,LoC Ceasefire Violation,Kupwara,"Several Facebook and WhatsApp messages alleged secret military actions during the LoC Ceasefire Violation in Kupwara, but fact-checking organizations found no official evidence supporting these claims.",FAKE,Factly
1044,2021,Cross-border Infiltration Attempt,Jammu & Kashmir,"A widely shared video was said to depict conflict during the Cross-border Infiltration Attempt in Jammu & Kashmir, but investigators determined that the footage was old and unrelated to the incident.",FAKE,PIB Fact Check
1045,2022,India-Pakistan Border Tension,Punjab Border,"A viral social media post claimed that a major military disaster occurred during the India-Pakistan Border Tension in Punjab Border, but fact-checkers later confirmed that the claim was false and based on misleading information.",FAKE,Newschecker
1046,2023,Terror Attack Investigation,Srinagar,"Images circulating online were claimed to show destruction during the Terror Attack Investigation in Srinagar; however, verification revealed that the pictures were actually from an unrelated incident in another country.",FAKE,Alt News
1047,2024,Counter-insurgency Operation,Baramulla,"Several Facebook and WhatsApp messages alleged secret military actions during the Counter-insurgency Operation in Baramulla, but fact-checking organizations found no official evidence supporting these claims.",FAKE,BOOM Live
1048,2025,Manipur Ethnic Conflict,Imphal,"A widely shared video was said to depict conflict during the Manipur Ethnic Conflict in Imphal, but investigators determined that the footage was old and unrelated to the incident.",FAKE,Factly
1049,2020,Galwan Valley Clash,Ladakh,"A viral social media post claimed that a major military disaster occurred during the Galwan Valley Clash in Ladakh, but fact-checkers later confirmed that the claim was false and based on misleading information.",FAKE,PIB Fact Check
1050,2021,Kashmir Militancy Encounter,Shopian,"Images circulating online were claimed to show destruction during the Kashmir Militancy Encounter in Shopian; however, verification revealed that the pictures were actually from an unrelated incident in another country.",FAKE,Newschecker
1051,2022,LoC Ceasefire Violation,Kupwara,"Several Facebook and WhatsApp messages alleged secret military actions during the LoC Ceasefire Violation in Kupwara, but fact-checking organizations found no official evidence supporting these claims.",FAKE,Alt News
1052,2023,Cross-border Infiltration Attempt,Jammu & Kashmir,"A widely shared video was said to depict conflict during the Cross-border Infiltration Attempt in Jammu & Kashmir, but investigators determined that the footage was old and unrelated to the incident.",FAKE,BOOM Live
